City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,Kiama,-34.6833,150.8667,54.0,57,2,18.01,AU,1669060064
168,Hay River,60.8156,-115.7999,30.18,74,20,10.36,CA,1669060065
169,Guerrero Negro,27.9769,-114.0611,74.44,27,16,3.51,MX,1669059906
170,Bamberg,49.8795,10.8863,36.93,92,80,4.12,DE,1669060065
171,Borinskoye,52.4569,39.3713,32.94,99,100,8.21,RU,1669060066
172,Thompson,55.7435,-97.8558,15.96,86,100,9.22,CA,1669059949
173,Egvekinot,66.3167,-179.1667,-14.51,85,100,12.08,RU,1669060066
174,Faanui,-16.4833,-151.75,79.14,75,78,16.37,PF,1669060066
175,Brae,60.3964,-1.353,41.43,71,100,5.28,GB,1669060067
176,Puerto Ayora,-0.7393,-90.3518,78.76,93,90,7.0,EC,1669060067
177,Virginia Beach,36.8529,-75.978,53.64,56,2,4.0,US,1669059783
178,Cartagena,10.3997,-75.5144,85.62,74,75,9.22,CO,1669059966
179,Pochutla,15.7432,-96.4661,87.82,56,0,6.58,MX,1669060068
180,Leningradskiy,69.3833,178.4167,-12.93,86,100,11.3,RU,1669060068
181,Benguela,-12.5763,13.4055,77.74,80,87,3.24,AO,1669060069
182,Upernavik,72.7868,-56.1549,8.4,95,91,6.85,GL,1669060069
183,Malatya Province,38.5,38.0,41.05,100,75,3.44,TR,1669060069
184,Saint-Philippe,-21.3585,55.7679,72.99,78,7,4.03,RE,1669060069
185,Kruisfontein,-34.0033,24.7314,65.88,82,84,5.97,ZA,1669060070
186,Miraflores,19.2167,-98.8083,70.97,53,77,2.62,MX,1669060070
187,Nabire,-3.3667,135.4833,75.45,90,99,3.36,ID,1669060071
188,Cascais,38.6979,-9.4215,59.95,79,20,14.0,PT,1669060054
189,Lamu,-2.2717,40.902,78.46,90,94,9.46,KE,1669060071
190,Saint George,37.1041,-113.5841,52.43,28,0,1.99,US,1669059949
191,Norman Wells,65.282,-126.8329,21.24,86,75,6.91,CA,1669060072
192,Forchheim,49.7175,11.0588,38.17,92,63,5.3,DE,1669060072
193,Margate,51.3813,1.3862,45.9,79,81,7.0,GB,1669060072
194,Algiers,36.7525,3.042,66.02,45,40,17.27,DZ,1669059900
195,Cidreira,-30.1811,-50.2056,72.91,84,100,11.5,BR,1669060073
196,Bazarnye Mataki,54.8833,49.9333,13.89,98,93,3.78,RU,1669060073
197,Sfântu Gheorghe,45.8667,25.7833,37.92,89,100,7.54,RO,1669060074
198,Bonnyville,54.2668,-110.735,37.2,83,12,11.86,CA,1669060074
199,Sandnessjøen,66.0217,12.6316,28.51,54,0,9.22,NO,1669060075
200,Chambas,22.1928,-78.9136,85.28,58,63,12.06,CU,1669060075
201,Kiruna,67.8557,20.2251,2.32,85,0,8.05,SE,1669060076
202,Kahului,20.8947,-156.47,79.84,72,40,17.27,US,1669060076
